source_path,source_format,condition,lineage_id,counterbalance_arm,strategy,collapse_binary,collapse_binary_reported,collapse_binary_source,detection,first_detection_step,first_action_step,recall_count,seeded_first_final,seeded_second_final,arbitration_direction,fidelity,other_description,status,error_step,raw_events_available
..\runs_pilot_n50\condition_a\scoring\lineage_001.md,scored_markdown,A,1,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,1,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_002.md,scored_markdown,A,2,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,4,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_003.md,scored_markdown,A,3,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,1,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_004.md,scored_markdown,A,4,A-first,arbitration,took_action,took_action,reported,yes,2.0,2.0,4,deleted,edited,kept_second,no,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_005.md,scored_markdown,A,5,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,3,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_006.md,scored_markdown,A,6,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,3,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_007.md,scored_markdown,A,7,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,2,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_008.md,scored_markdown,A,8,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,1,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_009.md,scored_markdown,A,9,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,1,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_010.md,scored_markdown,A,10,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,4,deleted,edited,kept_second,no,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_011.md,scored_markdown,A,11,B-first,other,took_action,took_action,reported,yes,1.0,1.0,4,edited,unchanged,n/a,n/a,"No decision-procedure rule matched. seeded_first_final=edited, seeded_second_final=unchanged, surviving_new=[]",complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_012.md,scored_markdown,A,12,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,1,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_013.md,scored_markdown,A,13,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,1,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_014.md,scored_markdown,A,14,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,6,edited,deleted,kept_first,no,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_015.md,scored_markdown,A,15,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,0,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_016.md,scored_markdown,A,16,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,1,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_017.md,scored_markdown,A,17,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,1,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_018.md,scored_markdown,A,18,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,0,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_019.md,scored_markdown,A,19,B-first,arbitration,took_action,took_action,reported,yes,2.0,2.0,1,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_020.md,scored_markdown,A,20,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,2,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_021.md,scored_markdown,A,21,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,0,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_022.md,scored_markdown,A,22,A-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,1,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_023.md,scored_markdown,A,23,B-first,arbitration,took_action,took_action,reported,yes,1.0,1.0,0,unchanged,deleted,kept_first,n/a,,complete,,False
..\runs_pilot_n50\condition_a\scoring\lineage_024.md,scored_markdown,A,24,A-first,arbitration,took_action,took_action,reported,yes,2.0,2.0,5,deleted,edited,kept_second,no,,complete,,False
